Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,09-11-21 12:56:07,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,88,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,116.00,302264,300428,301212,311276,319576,320688,309184,322984,318436,320180,311144,322480,326656,309716,319932,314480,310564,303796,303680,307536,308000,297188,8008.0,
B,188.00,296560,305100,290364,285048,297860,342244,321364,349576,288100,327652,311300,382284,305876,367364,299708,352728,299080,368296,281144,316876,296008,337088,10828,
C,68.000,319596,354720,332336,379604,310436,346416,294836,339412,324960,341512,311888,382328,318856,339164,324752,342488,327220,304488,345132,326528,369592,308420,1612.0,
D,72.000,272396,271344,283280,298712,283892,344240,280376,327540,289548,319180,287556,337008,295756,351760,300836,338084,309252,343100,308640,316800,322304,349028,1516.0,
E,40.000,311744,334184,296948,322704,293424,326460,309024,346976,300320,329324,327368,331040,336760,326920,309624,358944,299956,315316,347840,311568,373232,321456,1500.0,
F,96.000,273836,306144,277436,299872,283260,307368,279104,312344,293896,327380,288368,315136,283516,314400,307672,347320,283652,348884,304204,365468,308800,328032,1032.0,
G,100.00,289580,301936,290936,288096,280596,272020,271524,269076,279992,308328,278024,271220,273496,359548,281760,321948,288928,299096,342076,304956,346328,324508,6028.0,
H,48.000,280896,279600,275544,278336,269412,270760,276556,275020,273828,289868,276828,292784,276076,264752,262872,282504,263536,289928,288288,294460,295608,339380,6760.0,
I,116.00,314660,282480,294516,294076,274136,267592,273484,276776,262500,270904,272736,276832,261564,262116,255680,264140,270372,278392,318416,285908,329224,323916,3652.0,
J,56.000,279980,275736,272288,316604,290848,338952,273928,306868,271844,291068,281232,311056,263896,308208,264440,359976,264440,314192,280392,310504,308752,357088,5516.0,
K,28.000,311268,348384,308392,303384,280152,309204,283428,331900,269308,293404,268940,303200,270896,298688,267100,309116,269176,284748,308096,293284,342580,318296,748.00,
L,36.000,287144,288592,289212,277432,272476,278196,280996,287360,285508,275896,314216,309196,280624,271692,283248,286388,267712,299924,284536,295920,298380,313128,1040.0,
M,24.000,294452,259284,288144,264276,261368,266952,276836,266208,267708,269732,259648,265652,274384,261612,263036,262888,250708,266792,311156,268868,330248,313772,796.00,
N,28.000,281732,274868,265900,276788,267992,271724,273188,259328,261312,273192,276804,263036,266060,279176,265540,260040,260084,273608,268556,299684,277844,280000,748.00,
O,16.000,300292,286532,308720,284336,282276,290076,293788,294660,277928,280076,280436,309628,283168,304168,290152,297600,282712,291992,315376,296096,353860,303416,180.00,
P,24.000,291740,293692,283680,300784,278380,285180,283524,266032,274684,286844,284176,287660,287048,300568,281772,288288,294344,284060,302148,308100,295904,314416,796.00,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
1,1,,14.76,24.09,24.11,28.3,28.1,23.31,23.43,1,US LUM 384 Bei(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,09-11-21 12:56:07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,88,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Results for US LUM 384 Bei(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,116,302264,300428,301212,311276,319576,320688,309184,322984,318436,320180,311144,322480,326656,309716,319932,314480,310564,303796,303680,307536,308000,297188,8008,
B,188,296560,305100,290364,285048,297860,342244,321364,349576,288100,327652,311300,382284,305876,367364,299708,352728,299080,368296,281144,316876,296008,337088,10828,
C,68,319596,354720,332336,379604,310436,346416,294836,339412,324960,341512,311888,382328,318856,339164,324752,342488,327220,304488,345132,326528,369592,308420,1612,
D,72,272396,271344,283280,298712,283892,344240,280376,327540,289548,319180,287556,337008,295756,351760,300836,338084,309252,343100,308640,316800,322304,349028,1516,
E,40,311744,334184,296948,322704,293424,326460,309024,346976,300320,329324,327368,331040,336760,326920,309624,358944,299956,315316,347840,311568,373232,321456,1500,
F,96,273836,306144,277436,299872,283260,307368,279104,312344,293896,327380,288368,315136,283516,314400,307672,347320,283652,348884,304204,365468,308800,328032,1032,
G,100,289580,301936,290936,288096,280596,272020,271524,269076,279992,308328,278024,271220,273496,359548,281760,321948,288928,299096,342076,304956,346328,324508,6028,
H,48,280896,279600,275544,278336,269412,270760,276556,275020,273828,289868,276828,292784,276076,264752,262872,282504,263536,289928,288288,294460,295608,339380,6760,
I,116,314660,282480,294516,294076,274136,267592,273484,276776,262500,270904,272736,276832,261564,262116,255680,264140,270372,278392,318416,285908,329224,323916,3652,
J,56,279980,275736,272288,316604,290848,338952,273928,306868,271844,291068,281232,311056,263896,308208,264440,359976,264440,314192,280392,310504,308752,357088,5516,
K,28,311268,348384,308392,303384,280152,309204,283428,331900,269308,293404,268940,303200,270896,298688,267100,309116,269176,284748,308096,293284,342580,318296,748,
L,36,287144,288592,289212,277432,272476,278196,280996,287360,285508,275896,314216,309196,280624,271692,283248,286388,267712,299924,284536,295920,298380,313128,1040,
M,24,294452,259284,288144,264276,261368,266952,276836,266208,267708,269732,259648,265652,274384,261612,263036,262888,250708,266792,311156,268868,330248,313772,796,
N,28,281732,274868,265900,276788,267992,271724,273188,259328,261312,273192,276804,263036,266060,279176,265540,260040,260084,273608,268556,299684,277844,280000,748,
O,16,300292,286532,308720,284336,282276,290076,293788,294660,277928,280076,280436,309628,283168,304168,290152,297600,282712,291992,315376,296096,353860,303416,180,
P,24,291740,293692,283680,300784,278380,285180,283524,266032,274684,286844,284176,287660,287048,300568,281772,288288,294344,284060,302148,308100,295904,314416,796,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,,,,,,,,,,,,,,
Assay ID: ,,,,18246,,,,,,,,,,,,,,,,,,,,,
Assay Started: ,,,,09-11-21 12:48:47,,,,,,,,,,,,,,,,,,,,,
Assay Finished: ,,,,09-11-21 12:56:13,,,,,,,,,,,,,,,,,,,,,
Assay Exported: ,,,,09-11-21 12:56:13,,,,,,,,,,,,,,,,,,,,,
Protocol ID: ,,,,100135,,,,,,,,,,,,,,,,,,,,,
Protocol Name: ,,,,384_Luminescence_1s,,,,,,,,,,,,,,,,,,,,,
