Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,30-11-21 14:12:06,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,60,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,20.000,208448,239012,230836,220248,219160,234480,224512,238172,231192,234952,239792,237824,228864,245832,240352,248852,237144,247100,233768,245568,229760,244888,8.0000,
B,12.000,212760,224612,225616,218592,228436,232512,229148,229304,238056,213484,241252,233288,237204,256572,235444,267752,236976,205420,237808,243560,247272,235184,12.000,
C,20.000,245152,287072,241236,275424,229092,221356,233344,221416,223820,255648,251148,240108,228272,239784,228392,229720,242864,235108,256232,227180,267808,240916,12.000,
D,16.000,212676,231948,224796,233140,226920,253764,234404,231092,224484,242760,226724,259464,230440,245852,239208,242132,233288,239976,239452,253544,243480,221032,16.000,
E,20.000,242408,283784,251424,245728,229236,253840,239052,246632,230968,255712,224184,229968,240948,244608,231436,262844,235048,239192,250176,235988,264668,240640,8.0000,
F,16.000,215500,235208,232836,250332,229768,246248,230544,255512,223976,248340,229288,236896,232116,262984,235308,231824,235360,250108,237068,260328,234744,242544,16.000,
G,20.000,247364,233584,242088,231608,218308,219772,223528,240996,217232,240924,226016,244404,234440,231128,227020,251076,235532,231572,269804,235240,259364,237716,12.000,
H,24.000,229404,222916,226672,223904,215524,222408,218640,220868,219876,226452,222304,223848,234772,227388,233040,221568,238324,220636,234728,230420,224712,239708,44.000,
I,28.000,262896,229204,252116,227400,233800,236776,230812,220184,229840,222524,227448,221848,227984,229896,236984,231292,235472,232812,248608,243416,271700,244328,16.000,
J,24.000,228360,249828,228792,197656,219216,261752,229484,250788,222576,239036,219832,252336,232664,256204,241420,247380,231044,265176,234888,241884,249024,265036,12.000,
K,24.000,255224,278108,253144,252028,219508,252800,228180,245604,228108,223768,231464,256936,237112,259640,238776,232856,236852,241808,259592,233404,268892,239552,20.000,
L,32.000,224400,279508,231080,277136,229904,280368,226128,273712,222536,274496,226272,284772,240208,288496,237096,278012,230964,279184,240000,288784,244380,288592,12.000,
M,40.000,247336,281560,248112,270540,230976,270444,222856,269716,227800,285124,221728,281396,223476,287156,220604,276920,225380,218912,240248,226808,260712,232424,12.000,
N,32.000,224272,209712,222120,227344,217776,212920,225744,214104,223176,254652,219304,232700,224720,238016,226408,214684,232896,242216,233520,238328,231880,257260,36.000,
O,44.000,253244,249712,249432,240272,235756,227148,260144,226960,240812,232216,240200,243208,241440,242336,246312,250188,237456,244156,265100,250604,268688,247160,16.000,
P,20.000,234376,235120,238280,230008,243128,239888,243892,250960,248164,245804,247704,249336,247796,253868,252488,245412,260448,254028,252376,262320,266180,259060,12.000,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
1,1,,14.69,24.43,24.45,20.1,19.8,23.6,23.72,1,US LUM 384 Bei(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,30-11-21 14:12:06,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,60,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Results for US LUM 384 Bei(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,20,208448,239012,230836,220248,219160,234480,224512,238172,231192,234952,239792,237824,228864,245832,240352,248852,237144,247100,233768,245568,229760,244888,8,
B,12,212760,224612,225616,218592,228436,232512,229148,229304,238056,213484,241252,233288,237204,256572,235444,267752,236976,205420,237808,243560,247272,235184,12,
C,20,245152,287072,241236,275424,229092,221356,233344,221416,223820,255648,251148,240108,228272,239784,228392,229720,242864,235108,256232,227180,267808,240916,12,
D,16,212676,231948,224796,233140,226920,253764,234404,231092,224484,242760,226724,259464,230440,245852,239208,242132,233288,239976,239452,253544,243480,221032,16,
E,20,242408,283784,251424,245728,229236,253840,239052,246632,230968,255712,224184,229968,240948,244608,231436,262844,235048,239192,250176,235988,264668,240640,8,
F,16,215500,235208,232836,250332,229768,246248,230544,255512,223976,248340,229288,236896,232116,262984,235308,231824,235360,250108,237068,260328,234744,242544,16,
G,20,247364,233584,242088,231608,218308,219772,223528,240996,217232,240924,226016,244404,234440,231128,227020,251076,235532,231572,269804,235240,259364,237716,12,
H,24,229404,222916,226672,223904,215524,222408,218640,220868,219876,226452,222304,223848,234772,227388,233040,221568,238324,220636,234728,230420,224712,239708,44,
I,28,262896,229204,252116,227400,233800,236776,230812,220184,229840,222524,227448,221848,227984,229896,236984,231292,235472,232812,248608,243416,271700,244328,16,
J,24,228360,249828,228792,197656,219216,261752,229484,250788,222576,239036,219832,252336,232664,256204,241420,247380,231044,265176,234888,241884,249024,265036,12,
K,24,255224,278108,253144,252028,219508,252800,228180,245604,228108,223768,231464,256936,237112,259640,238776,232856,236852,241808,259592,233404,268892,239552,20,
L,32,224400,279508,231080,277136,229904,280368,226128,273712,222536,274496,226272,284772,240208,288496,237096,278012,230964,279184,240000,288784,244380,288592,12,
M,40,247336,281560,248112,270540,230976,270444,222856,269716,227800,285124,221728,281396,223476,287156,220604,276920,225380,218912,240248,226808,260712,232424,12,
N,32,224272,209712,222120,227344,217776,212920,225744,214104,223176,254652,219304,232700,224720,238016,226408,214684,232896,242216,233520,238328,231880,257260,36,
O,44,253244,249712,249432,240272,235756,227148,260144,226960,240812,232216,240200,243208,241440,242336,246312,250188,237456,244156,265100,250604,268688,247160,16,
P,20,234376,235120,238280,230008,243128,239888,243892,250960,248164,245804,247704,249336,247796,253868,252488,245412,260448,254028,252376,262320,266180,259060,12,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,,,,,,,,,,,,,,
