Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,07-12-21 13:19:18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,184,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,12.000,210012,225592,203672,222240,228820,213388,222968,247472,217676,226036,225984,226700,213496,92.000,212668,72.000,220272,100.00,216304,88.000,203640,48.000,20.000,
B,68.000,235136,233828,212196,214500,228664,221372,236644,249252,223936,216716,240876,224316,206348,219816,239884,226672,218804,227560,217896,225824,207092,211316,12.000,
C,24.000,250752,259376,234932,210708,215488,202276,242856,221344,223248,228492,236504,248004,224512,253084,216416,240844,220356,218556,237452,213932,229728,214120,20.000,
D,20.000,231212,238204,225940,210856,218012,244576,213276,229016,227776,224684,219656,237064,218032,235228,224008,229852,219328,244460,222696,234512,227016,219880,12.000,
E,40.000,242168,251504,240468,238772,219516,231312,227892,256656,234212,254796,254628,231192,220772,264628,224908,224516,222652,231080,255456,208168,226740,211884,20.000,
F,8.0000,236624,226892,214620,223384,214656,255088,226328,255708,213220,240800,208200,226420,233160,237300,221564,216584,219964,250968,206804,230676,207420,214596,12.000,
G,28.000,235324,239816,244660,240136,220828,231720,214720,249304,213828,215176,205644,251820,213460,223980,225532,204528,203308,194560,236092,210324,220144,199836,16.000,
H,32.000,220660,215716,226316,204544,205588,227620,209192,216320,194684,212876,210624,231660,204472,214796,207848,199176,209976,194768,184820,189588,186652,212680,16.000,
I,12.000,257680,228640,248320,245996,217940,239296,215672,222492,210988,204852,210820,214908,223348,222196,226076,219408,214128,214032,232924,202040,246216,215452,56.000,
J,16.000,238028,220004,236028,254148,228740,254320,239848,222892,212088,227324,207836,231004,233852,217568,210508,231516,203220,232120,230328,226236,218428,250136,20.000,
K,24.000,249040,272456,257896,230040,213604,218136,233364,236060,229156,238700,224428,236020,236432,230656,226316,255100,218748,207936,237188,217204,241772,222120,20.000,
L,12.000,243572,253168,262624,235180,249848,253552,242080,252668,218148,227812,214992,250304,253688,249868,233260,243532,206520,235192,207484,254984,228816,222340,16.000,
M,16.000,249992,283992,240116,249932,244256,208128,227508,248044,213684,231140,227740,240656,225732,248832,236892,242700,219296,215620,242100,197896,253204,226340,20.000,
N,12.000,240016,279404,229480,211904,231684,251748,228256,236104,224812,259412,218340,226256,235848,234088,219352,284324,220724,257976,202436,252680,221072,268384,20.000,
O,8.0000,272848,254888,271804,300996,248168,255604,240908,259360,248944,265500,253376,278236,234984,250324,241696,293192,244292,225216,250444,208684,255464,216096,20.000,
P,12.000,212.00,264024,60.000,257172,128.00,247776,80.000,235428,64.000,237120,270120,253116,240060,253324,250208,237728,240120,243976,255544,265260,238568,246504,72.000,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
1,1,,14.76,24.14,24.16,25.8,25.8,23.5,23.53,1,US LUM 384 Bei(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,07-12-21 13:19:18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,184,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Results for US LUM 384 Bei(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,12,210012,225592,203672,222240,228820,213388,222968,247472,217676,226036,225984,226700,213496,92,212668,72,220272,100,216304,88,203640,48,20,
B,68,235136,233828,212196,214500,228664,221372,236644,249252,223936,216716,240876,224316,206348,219816,239884,226672,218804,227560,217896,225824,207092,211316,12,
C,24,250752,259376,234932,210708,215488,202276,242856,221344,223248,228492,236504,248004,224512,253084,216416,240844,220356,218556,237452,213932,229728,214120,20,
D,20,231212,238204,225940,210856,218012,244576,213276,229016,227776,224684,219656,237064,218032,235228,224008,229852,219328,244460,222696,234512,227016,219880,12,
