Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,23-11-21 13:12:05,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,240,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,12.000,196888,196772,189680,213256,205564,199392,209604,204660,231552,217884,199136,195948,212600,216996,203648,210832,210960,204428,209136,199780,211364,195228,12.000,
B,8.0000,213824,195876,185824,204008,188532,218556,202004,226296,197296,197712,182624,194336,194724,210200,211080,176292,203692,179784,192488,192128,203500,185772,12.000,
C,8.0000,192468,189152,202644,191060,194040,185904,197760,198652,193800,187124,190656,197128,195040,203296,200496,218360,192264,194488,198516,193116,201220,169200,8.0000,
D,20.000,191936,190348,234436,196152,190032,229584,172624,199964,191636,200752,186232,191468,179024,193396,179796,196692,175736,191856,205256,179364,173836,184772,12.000,
E,16.000,202304,180624,201116,203688,202292,207004,209948,198428,211796,206096,189976,208200,202136,197100,199388,205664,204872,188352,202656,194160,208116,188432,12.000,
F,12.000,191228,188496,182212,200752,191684,173796,187644,192380,184976,174336,171088,199896,192616,207152,196268,184736,183412,203108,204124,188500,178868,187388,8.0000,
G,20.000,208120,208384,194524,180244,183736,186996,192000,193220,188560,214812,186132,213552,202336,200704,205896,236488,210512,189608,215088,222172,210492,201476,12.000,
H,8.0000,192972,210012,176000,197508,196416,199588,208612,191592,165216,198848,219376,195640,206452,187548,187452,215576,195116,204992,185132,197388,180452,185256,12.000,
I,8.0000,205644,220520,201772,182372,192956,192596,205028,196276,192092,189796,191564,230672,216500,227620,214504,196092,199380,181440,192764,201060,210628,210368,16.000,
J,16.000,190436,178296,186628,208156,176732,215768,182344,182568,187988,182300,189032,195556,189220,204652,196132,206560,176912,172432,182096,199540,194600,201856,16.000,
K,8.0000,212144,210184,201420,194956,189324,187836,193688,227656,192376,187676,192740,222960,198764,205560,197164,201420,191060,203756,196624,178676,207740,175604,12.000,
L,12.000,217412,199156,202220,205196,178948,209776,180712,205452,178264,187144,185220,201728,220856,201260,185164,188340,185408,200968,206152,196336,147424,179400,12.000,
M,12.000,189996,181552,194452,187212,180356,183212,182268,184716,185356,186140,189332,184652,185252,182668,186056,185708,188856,178928,199392,178816,199924,205916,4.0000,
N,16.000,159840,187980,172876,191876,150988,190760,175784,203612,181860,185248,166420,196260,163068,194700,170596,164700,193904,206648,181808,179788,177220,167660,12.000,
O,16.000,196752,172992,189872,188164,189564,167444,210656,207316,198812,171424,188892,190452,198884,203776,203580,185388,202504,175428,195784,158052,209912,169948,8.0000,
P,20.000,205716,197640,205304,208516,197152,202820,193012,199916,207456,190888,190204,200524,189544,198340,200896,195344,203588,198328,184824,204056,193340,193292,16.000,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
1,1,,14.8,24.24,24.21,26.7,26.7,23.6,23.63,1,US LUM 384 Bei(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,23-11-21 13:12:05,,,,,,,,,
