Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,09-11-21 12:39:08,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,1096,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,16.000,235144,238484,244104,251652,236144,238348,251852,253976,241248,251372,247296,255696,264708,248448,259832,244608,246920,249580,245332,258952,248240,246644,16.000,
B,12.000,292228,282744,264096,295512,255112,299228,256560,265092,252048,264524,234376,264096,252788,289948,270568,272092,279092,264636,235988,255628,244240,280236,8.0000,
C,16.000,280080,247572,287344,300060,246096,261316,248456,281592,252848,303760,274216,276608,256296,273580,271608,275744,258488,275260,280340,272996,277456,257552,12.000,
D,12.000,292824,293496,277076,297112,289404,302028,284080,302524,267972,285264,259212,311552,261900,307592,262440,288120,272288,289244,227988,285388,252692,277828,16.000,
E,12.000,280416,292884,282972,329160,266964,273104,271216,316976,269744,292036,272464,279180,280908,258420,266748,256208,268312,254796,289628,275472,285372,272636,16.000,
F,20.000,293656,297576,282100,308780,258352,277800,257684,281856,258932,292024,307988,329212,281336,292192,238144,265688,275904,312196,281760,299548,246256,268748,8.0000,
G,12.000,273268,279104,276600,270556,244072,298496,240252,271928,239016,265672,240772,282700,247856,273480,242880,265084,265552,233864,285056,261308,284152,278896,24.000,
H,8.0000,335228,307836,298088,345172,273588,301124,326588,337856,262276,319000,256856,327456,295440,311344,283604,291984,303336,294904,260000,295040,267724,281992,16.000,
I,48.000,292320,289220,292628,288696,251740,279848,263268,278348,235608,311336,225784,278440,254376,260396,251144,301904,264096,282360,289496,267768,292384,293648,56.000,
J,12.000,302868,302480,331700,326556,312500,321748,287956,282884,291156,302840,248876,304172,287280,289184,267620,281836,262948,258912,267608,283496,289376,294852,40.000,
K,8.0000,307456,307332,292692,308528,258492,293048,273944,296164,271420,292496,275248,338256,271144,290024,280592,291676,266264,276364,291008,292112,295200,249360,24.000,
L,8.0000,328564,320256,336900,299788,297672,333200,290804,315492,235776,301892,226884,309496,241076,339044,333480,319068,315696,292268,292864,290044,307496,295252,20.000,
M,8.0000,272808,279360,291076,282744,251124,271312,252252,300420,259332,283804,239832,278392,240784,275304,252100,261920,251972,270268,279948,247688,279660,278244,8.0000,
N,20.000,279404,302880,291760,294892,294540,268252,255260,281208,273356,300660,282060,288180,318220,281316,268332,280048,268176,291368,250128,271800,288848,277168,16.000,
O,12.000,281060,294488,317232,297212,282996,332004,295996,298180,281908,305700,282448,280704,304892,294216,282248,328300,284016,261440,299460,314364,310780,303736,16.000,
P,120.00,293416,300808,310176,291156,303444,281940,296136,288128,288212,293440,289660,288784,290084,292912,292292,287324,279124,285600,286784,272404,286556,290252,16.000,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
1,1,,14.76,24.14,24.11,28.8,28.6,23.01,23.43,1,US LUM 384 Bei(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,09-11-21 12:39:08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,1096,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Results for US LUM 384 Bei(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,16,235144,238484,244104,251652,236144,238348,251852,253976,241248,251372,247296,255696,264708,248448,259832,244608,246920,249580,245332,258952,248240,246644,16,
B,12,292228,282744,264096,295512,255112,299228,256560,265092,252048,264524,234376,264096,252788,289948,270568,272092,279092,264636,235988,255628,244240,280236,8,
C,16,280080,247572,287344,300060,246096,261316,248456,281592,252848,303760,274216,276608,256296,273580,271608,275744,258488,275260,280340,272996,277456,257552,12,
D,12,292824,293496,277076,297112,289404,302028,284080,302524,267972,285264,259212,311552,261900,307592,262440,288120,272288,289244,227988,285388,252692,277828,16,
