Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,30-11-21 13:56:11,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,40,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,16.000,204976,211904,231228,226204,215188,232372,215220,211548,228916,225684,224516,236392,225036,243436,239764,245024,234868,237872,243648,220348,242004,231880,4.0000,
B,12.000,245724,191252,219256,254196,204196,218232,227304,215312,211212,216880,211416,213544,211364,220728,252248,216236,221760,229920,217436,190708,202416,224568,8.0000,
C,12.000,246784,232656,223724,231556,220852,209700,218804,219640,227756,230448,233344,232456,221252,232836,227760,236596,239832,225532,243492,223908,244344,210492,12.000,
D,12.000,210592,235444,225536,236576,241632,220984,208752,236300,240132,205396,233492,234392,245016,226944,242600,240756,235920,228368,233784,244300,244684,223448,12.000,
E,8.0000,242972,227772,228420,257260,222016,223664,214644,210148,218120,211508,209928,244308,231572,221984,230608,230232,229932,218340,242580,233204,248796,229708,12.000,
F,20.000,236392,209200,217752,213856,244720,214932,214672,220788,230608,215092,229404,225784,245912,222944,218808,234668,216996,225820,230312,232868,233880,221404,16.000,
G,240.00,229832,224972,231656,225812,213536,225332,218080,230496,204796,188828,214732,248564,229000,233724,224868,246352,225812,229836,246956,221780,246564,220352,8.0000,
H,12.000,228480,252828,245360,231516,241320,250612,205908,215492,208084,190668,208392,201180,250428,226804,229500,224328,240516,212496,216620,219260,240120,246996,20.000,
I,16.000,255796,221328,250616,228928,213968,241240,222936,231940,216428,223084,205196,265500,225928,262376,228440,267660,233556,266480,241408,265692,245232,274432,16.000,
J,20.000,238184,238404,226144,231768,228436,238740,216604,229084,235184,198444,206028,211832,210820,210396,275032,234052,218104,220856,232008,251912,220232,218468,12.000,
K,20.000,245864,220772,242872,224632,220800,232156,222816,249988,223516,248212,220680,282024,234144,282576,230612,272824,231300,272692,252248,282324,250896,274368,16.000,
L,16.000,229236,210328,199432,237192,217356,232212,234748,219692,232324,225284,223204,239756,231744,251404,253328,231652,242164,250400,259812,240428,235944,218748,8.0000,
M,16.000,237788,200580,239696,233932,209052,222160,215636,223236,218524,211952,215096,277176,226268,276844,226040,275712,224224,270924,242432,274724,242044,270700,16.000,
N,16.000,211460,220028,229104,200360,227244,222504,216796,236128,235224,202460,221828,221720,227908,224424,237628,235012,229020,224976,252104,219784,229180,210276,8.0000,
O,24.000,259860,245112,260244,235500,236232,244252,243324,249052,256496,252828,245084,270652,254384,259652,255012,259568,253876,267700,257888,267744,284196,250460,8.0000,
P,16.000,260064,245456,238120,250192,248080,256036,240872,243864,250816,250800,239832,258016,246672,253464,261292,248072,257344,248892,258376,257164,259696,251052,16.000,
,,,,,,,,,,,,,,,,,,,,,,,,,
