Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,30-11-21 14:04:19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,48,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,12.000,228088,225844,236452,251992,243900,234324,261040,239188,245716,248100,263304,248080,247012,236744,251016,245852,246632,246324,242740,249016,235116,237216,392.00,
B,12.000,268404,206676,233324,233944,241352,259704,263792,232300,250900,246452,252924,222140,240568,244000,294764,237424,222460,231404,226020,231376,216672,232596,12.000,
C,12.000,251960,273564,243668,287168,224972,277752,231748,293572,247012,256512,234292,286824,248196,297552,224968,294308,224036,267800,248916,284448,260232,274280,12.000,
D,20.000,214704,249032,242188,241272,251420,273168,249612,250088,237932,256952,249548,261312,286812,256696,239472,243048,243572,245816,223900,184456,217008,209788,16.000,
E,16.000,249988,285360,260636,275884,239148,293956,244452,293172,243984,301188,236436,300196,252464,296908,229500,284516,232884,281972,260908,274196,269500,280292,16.000,
F,12.000,211988,242820,239316,245748,235892,268748,247056,240744,226308,254056,261856,266320,240188,237780,281644,249080,248764,260772,235620,234640,239468,242280,8.0000,
G,20.000,238984,274396,240308,273496,228620,265600,218208,275696,228816,275996,234948,274004,225004,271192,223712,275904,228512,277284,250644,270612,254020,280108,16.000,
H,12.000,211360,251896,231888,281248,234232,261516,223152,230964,209996,223172,235500,199504,184296,235300,219636,287008,324932,233976,220380,242496,217208,228404,12.000,
I,24.000,253520,280092,253548,279984,235972,281488,234440,280240,235044,265316,233404,256000,226668,247800,232808,243964,227400,239952,257952,246572,258300,226520,12.000,
J,12.000,238204,252940,229556,229628,253064,257164,244540,238352,254508,243616,266788,292384,244884,259332,245392,240900,253060,238548,220312,235088,217016,219220,12.000,
K,24.000,243940,283060,252048,283732,229164,286832,233488,282848,247416,287940,235768,239200,236688,246176,234648,248564,240300,243940,250612,258952,258940,230920,16.000,
L,8.0000,228660,237380,227956,252692,230352,241360,220228,251624,251364,260740,260564,247032,256732,262260,259972,261748,242832,241084,219384,242000,253888,258936,12.000,
M,20.000,239652,270732,241004,285960,221440,282872,236932,276308,229336,291112,232388,234376,232988,244648,228944,237304,225772,273596,232732,246488,258900,255144,8.0000,
N,8.0000,227216,226956,225184,229216,256492,245960,243924,235036,245732,211388,233984,280560,298648,254096,233492,259356,248840,235504,208460,246364,222788,245880,8.0000,
O,16.000,257684,294300,248804,298716,251048,293840,247764,291568,255568,310688,257380,263412,249148,246436,253844,239452,249752,250840,257076,245700,271352,293956,20.000,
P,40.000,239740,245088,237308,236544,241828,244068,250888,243512,246148,250508,251904,263432,243676,251120,251464,264100,245664,238676,262752,262040,247260,253112,16.000,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
1,1,,14.76,24.43,24.4,20.3,20.1,23.5,23.72,1,US LUM 384 Bei(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,30-11-21 14:04:19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,48,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Results for US LUM 384 Bei(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,12,228088,225844,236452,251992,243900,234324,261040,239188,245716,248100,263304,248080,247012,236744,251016,245852,246632,246324,242740,249016,235116,237216,392,
B,12,268404,206676,233324,233944,241352,259704,263792,232300,250900,246452,252924,222140,240568,244000,294764,237424,222460,231404,226020,231376,216672,232596,12,
C,12,251960,273564,243668,287168,224972,277752,231748,293572,247012,256512,234292,286824,248196,297552,224968,294308,224036,267800,248916,284448,260232,274280,12,
D,20,214704,249032,242188,241272,251420,273168,249612,250088,237932,256952,249548,261312,286812,256696,239472,243048,243572,245816,223900,184456,217008,209788,16,
E,16,249988,285360,260636,275884,239148,293956,244452,293172,243984,301188,236436,300196,252464,296908,229500,284516,232884,281972,260908,274196,269500,280292,16,
F,12,211988,242820,239316,245748,235892,268748,247056,240744,226308,254056,261856,266320,240188,237780,281644,249080,248764,260772,235620,234640,239468,242280,8,
G,20,238984,274396,240308,273496,228620,265600,218208,275696,228816,275996,234948,274004,225004,271192,223712,275904,228512,277284,250644,270612,254020,280108,16,
