Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,07-12-21 13:04:02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,72,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,8.0000,218056,202884,220848,220068,206004,243704,214784,246384,202592,216612,203096,230628,229176,164.00,228524,108.00,226876,96.000,236288,380.00,214844,144.00,12.000,
B,16.000,244192,217780,230096,259492,222872,223360,250860,239944,265928,232556,229184,226556,209848,235080,223680,211636,215748,232312,184976,228704,213424,216128,16.000,
C,24.000,245936,222488,233144,250016,208356,255048,233312,241016,236080,253128,237000,267116,221716,234080,227064,242136,229132,258524,234152,239408,233484,237124,4.0000,
D,16.000,233140,239360,229812,236120,232444,244756,256460,261024,229992,248280,234280,236712,257536,265480,214960,218252,240708,262448,234712,226344,220436,261352,12.000,
E,16.000,236332,212600,228612,244532,219128,248788,244216,211452,221280,231756,231084,236416,240196,263140,223416,215144,213320,224956,244812,233320,237644,227612,12.000,
F,12.000,239180,228352,218792,204696,204684,229364,218336,247072,220692,227856,202144,233276,237232,222832,222972,231288,231368,221164,222632,240284,216052,227548,12.000,
G,16.000,221716,245412,232024,225572,222444,237228,208176,237576,197036,214136,213068,253496,224632,222696,200352,229320,209404,218148,233432,220264,232008,213292,8.0000,
H,12.000,188200,226524,214608,220992,209444,225340,230204,212956,216076,222416,222844,213452,233584,237336,224996,249312,226020,201008,211928,203792,250600,211068,12.000,
I,12.000,230512,232288,217228,212488,203520,235260,212980,218636,210604,206180,205236,221232,211708,250424,205928,211520,211128,212048,231764,224488,231620,249704,12.000,
J,12.000,231988,234120,238420,218152,220728,224516,220148,208460,227300,235636,209560,233276,230868,244992,242024,230296,228280,212316,215408,223296,214212,229012,12.000,
K,12.000,250292,232844,248464,218192,209200,255716,223452,264288,215756,229008,215748,220860,219352,233724,215020,236400,201280,241564,228660,226268,227872,227164,12.000,
L,16.000,243588,236152,226676,230860,228812,230212,231872,253160,229464,219816,224824,235748,251500,229944,230732,236580,235448,248304,243636,210196,228436,228016,12.000,
M,12.000,238132,230784,230560,233480,225572,234188,209432,221588,221232,255012,208280,235476,232296,255176,257180,238904,200888,234208,238080,233332,238784,234080,12.000,
N,16.000,220976,230088,238752,229516,215080,213796,232336,240120,233140,206040,235904,219612,245940,244636,250164,248188,216384,231336,206808,217712,248616,254812,12.000,
O,12.000,252232,243932,246876,233004,249056,255960,234116,247784,233404,239520,236552,236292,229420,244460,232992,233244,227860,258148,243128,221796,236156,268680,12.000,
P,12.000,192.00,246948,176.00,228796,255148,132.00,72.000,237056,284.00,249208,235560,230672,261748,241920,236188,234136,234252,248104,256172,243800,243216,217724,32.000,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
1,1,,14.76,24.19,24.16,25.8,25.9,23.41,23.53,1,US LUM 384 Bei(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,07-12-21 13:04:02,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,72,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Results for US LUM 384 Bei(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,8,218056,202884,220848,220068,206004,243704,214784,246384,202592,216612,203096,230628,229176,164,228524,108,226876,96,236288,380,214844,144,12,
