Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,09-11-21 12:47:07,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,464,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,24.000,212940,215084,214564,225472,223700,244892,248680,245580,237772,239976,240816,250708,237600,244284,242928,246456,234584,240024,232236,224328,229520,237036,24.000,
B,20.000,226044,240184,217076,267128,234572,267020,239400,251004,247480,253780,246512,273688,252676,247464,242580,258656,243420,233700,231788,232952,217688,238164,92.000,
C,12.000,244816,233516,268684,229820,233116,238428,245824,250196,258736,247868,243960,243116,238788,245884,240296,250108,243956,242400,257916,235936,265908,235576,44.000,
D,16.000,240140,245748,239080,280072,236464,279088,246076,294800,237836,256084,258716,265532,244220,292544,235808,283508,235184,262436,235976,261356,234388,247940,12.000,
E,16.000,265424,238020,290468,230576,236492,249264,248384,252028,255548,247396,254476,251940,247148,259372,259056,234136,248252,241788,263044,248124,275948,260368,16.000,
F,20.000,244876,293288,244864,290616,227240,268132,241032,264804,243356,281488,254888,282448,241896,282848,247920,288868,238768,272400,239888,307684,246896,270640,20.000,
G,16.000,283048,230556,273956,229616,251868,234596,242416,236772,233820,241572,247164,251432,247712,238484,239060,246644,227980,256592,275100,238500,279448,261660,20.000,
H,16.000,250860,289452,238444,297040,247504,276400,245444,289444,252412,301328,264988,324488,253160,286016,242528,286988,243732,266124,253096,277552,247476,274148,16.000,
I,12.000,273908,243024,279828,239720,254788,247896,252468,251216,254880,255244,248848,251480,251964,245116,241768,250728,246744,251120,287092,253940,289200,256536,32.000,
J,12.000,252040,259580,238692,288756,254544,291344,244524,284096,249976,272584,247628,283508,258884,270092,253088,268160,245620,278276,250792,303932,261816,279484,20.000,
K,20.000,272728,233236,299488,248028,261196,263752,253692,261132,263996,262344,257196,273488,260972,269984,264976,269800,261300,252380,301356,271380,310784,270000,12.000,
L,16.000,260736,288044,256876,274592,254196,300136,250756,280752,264416,283428,260564,289596,260624,288648,270272,301292,249940,308368,258956,302904,268252,245696,20.000,
M,20.000,267012,244016,260388,248564,246868,240008,246132,259288,260148,261948,249704,261280,247840,249604,247204,248980,248828,249048,272964,253060,280628,259428,20.000,
N,12.000,253072,271124,243776,272572,257896,277920,272564,282912,258696,292436,254720,289772,250568,277760,246168,309804,244880,277952,256680,263352,242936,270484,16.000,
O,24.000,273936,268092,303324,265312,276664,269980,267632,271612,288436,274044,274568,273356,284396,278332,275824,297644,277040,264080,291688,282580,309808,283140,20.000,
P,32.000,270048,283388,266604,274324,263820,284504,291656,278188,283584,294108,266776,308620,289944,304536,279872,290228,274952,276516,280140,281964,275800,284160,24.000,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
1,1,,14.76,24.09,24.11,28.5,28.3,23.31,23.43,1,US LUM 384 Bei(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,09-11-21 12:47:07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,464,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Results for US LUM 384 Bei(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,24,212940,215084,214564,225472,223700,244892,248680,245580,237772,239976,240816,250708,237600,244284,242928,246456,234584,240024,232236,224328,229520,237036,24,
B,20,226044,240184,217076,267128,234572,267020,239400,251004,247480,253780,246512,273688,252676,247464,242580,258656,243420,233700,231788,232952,217688,238164,92,
C,12,244816,233516,268684,229820,233116,238428,245824,250196,258736,247868,243960,243116,238788,245884,240296,250108,243956,242400,257916,235936,265908,235576,44,
D,16,240140,245748,239080,280072,236464,279088,246076,294800,237836,256084,258716,265532,244220,292544,235808,283508,235184,262436,235976,261356,234388,247940,12,
E,16,265424,238020,290468,230576,236492,249264,248384,252028,255548,247396,254476,251940,247148,259372,259056,234136,248252,241788,263044,248124,275948,260368,16,
F,20,244876,293288,244864,290616,227240,268132,241032,264804,243356,281488,254888,282448,241896,282848,247920,288868,238768,272400,239888,307684,246896,270640,20,
G,16,283048,230556,273956,229616,251868,234596,242416,236772,233820,241572,247164,251432,247712,238484,239060,246644,227980,256592,275100,238500,279448,261660,20,
H,16,250860,289452,238444,297040,247504,276400,245444,289444,252412,301328,264988,324488,253160,286016,242528,286988,243732,266124,253096,277552,247476,274148,16,
I,12,273908,243024,279828,239720,254788,247896,252468,251216,254880,255244,248848,251480,251964,245116,241768,250728,246744,251120,287092,253940,289200,256536,32,
J,12,252040,259580,238692,288756,254544,291344,244524,284096,249976,272584,247628,283508,258884,270092,253088,268160,245620,278276,250792,303932,261816,279484,20,
K,20,272728,233236,299488,248028,261196,263752,253692,261132,263996,262344,257196,273488,260972,269984,264976,269800,261300,252380,301356,271380,310784,270000,12,
L,16,260736,288044,256876,274592,254196,300136,250756,280752,264416,283428,260564,289596,260624,288648,270272,301292,249940,308368,258956,302904,268252,245696,20,
M,20,267012,244016,260388,248564,246868,240008,246132,259288,260148,261948,249704,261280,247840,249604,247204,248980,248828,249048,272964,253060,280628,259428,20,
N,12,253072,271124,243776,272572,257896,277920,272564,282912,258696,292436,254720,289772,250568,277760,246168,309804,244880,277952,256680,263352,242936,270484,16,
O,24,273936,268092,303324,265312,276664,269980,267632,271612,288436,274044,274568,273356,284396,278332,275824,297644,277040,264080,291688,282580,309808,283140,20,
P,32,270048,283388,266604,274324,263820,284504,291656,278188,283584,294108,266776,308620,289944,304536,279872,290228,274952,276516,280140,281964,275800,284160,24,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,,,,,,,,,,,,,,
Assay ID: ,,,,18245,,,,,,,,,,,,,,,,,,,,,
Assay Started: ,,,,09-11-21 12:39:47,,,,,,,,,,,,,,,,,,,,,
Assay Finished: ,,,,09-11-21 12:47:13,,,,,,,,,,,,,,,,,,,,,
Assay Exported: ,,,,09-11-21 12:47:13,,,,,,,,,,,,,,,,,,,,,
Protocol ID: ,,,,100135,,,,,,,,,,,,,,,,,,,,,
Protocol Name: ,,,,384_Luminescence_1s,,,,,,,,,,,,,,,,,,,,,
Serial#: ,,,,1040204,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol name,,,,384_Luminescence_1s,,,,,,,,,,,,,,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,,,,,,,,,,,,,,
