Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,23-11-21 13:28:55,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
1,US LUM 384 Bei,0,40,1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 Bei(1) channel 1,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,16.000,198284,198068,202020,214144,231976,214060,220608,215784,229512,216776,241680,215164,227976,211832,231356,229588,214480,216788,224216,231868,228632,209860,56.000,
B,16.000,220320,200216,217544,216444,227984,216788,217204,210884,233780,208064,223724,211536,212824,230828,216416,210492,233160,208728,215728,209028,202548,204656,8.0000,
C,20.000,208888,226068,199872,204792,209728,219560,215312,229552,233676,230620,210512,244956,212360,237136,221000,189244,210192,209032,223504,203948,218216,203292,12.000,
D,20.000,223736,224728,208020,208416,220336,214824,211520,218044,219664,260408,214076,239416,216272,231688,211920,230112,211192,210200,208700,210872,213204,185820,16.000,
E,12.000,210636,225032,196980,192208,212636,221584,213124,209064,214884,231132,205712,217556,208532,206292,221872,205392,211284,213016,225456,208000,218320,209544,12.000,
F,16.000,217420,171660,214172,193924,215596,192108,211856,202108,199816,197240,207912,188740,217380,208684,213688,221360,214136,219200,213660,199420,206872,205000,20.000,
G,16.000,227140,188428,208732,224712,210808,208588,210976,198896,220840,221984,208900,212488,226840,207132,216812,214172,230744,208464,222380,211788,223316,211960,16.000,
H,8.0000,217432,228280,220512,219664,207380,212412,219548,216800,222024,215456,201520,215560,185584,206492,217232,210908,225240,201580,202164,204100,203800,212184,12.000,
I,8.0000,209876,221856,207732,216452,214324,227892,212104,218656,205460,207412,199788,205496,206000,213516,227684,205032,210004,202720,210096,210888,213596,205572,16.000,
J,16.000,225172,211668,219820,212480,212932,221796,214124,190684,209680,190048,216444,225588,209044,252048,220268,226016,206620,214500,213788,195584,229512,180144,20.000,
