Plate_number_384,Well_number_384,Well_ID_384,Target_ID,Target_flag,Gene_symbol,Entrez_ID,TSS_ID,Is_main_TSS,Is_NT_ctrl,Is_pos_ctrl,Passes_cutoffs,Mean_logFC,p_value_log2_used,Hit_strength_log2_used,CellTiterGlo_raw,CellTiterGlo_foldNT,Raw_rep1,Raw_rep2,DeltaNT_rep1,DeltaNT_rep2,FoldNT_rep1,FoldNT_rep2,PercActivation_rep1,PercActivation_rep2,Raw_log2_rep1,Raw_log2_rep2,Log2FC_rep1,Log2FC_rep2,PercActivation_log2_rep1,PercActivation_log2_rep2,Raw_Glo_rep1,Raw_Glo_rep2,DeltaNT_Glo_rep1,DeltaNT_Glo_rep2,FoldNT_Glo_rep1,FoldNT_Glo_rep2,PercActivation_Glo_rep1,PercActivation_Glo_rep2,Raw_log2_Glo_rep1,Raw_log2_Glo_rep2,Log2FC_Glo_rep1,Log2FC_Glo_rep2,PercActivation_log2_Glo_rep1,PercActivation_log2_Glo_rep2,SSMD_deltaNT,SSMD_act,SSMD_log2,SSMD_act_log2,SSMD_deltaNT_Glo,SSMD_act_Glo,SSMD_log2_Glo,SSMD_act_log2_Glo,p_value_deltaNT,p_value_act,p_value_log2,p_value_act_log2,p_value_deltaNT_Glo,p_value_act_Glo,p_value_log2_Glo,p_value_act_log2_Glo,Hit_strength_deltaNT,Hit_strength_act,Hit_strength_log2,Hit_strength_act_log2,Hit_strength_deltaNT_Glo,Hit_strength_act_Glo,Hit_strength_log2_Glo,Hit_strength_act_log2_Glo
VIII,186,PlateVIII_H18,MITF_2,,MITF,4286,P2,Other,FALSE,FALSE,TRUE,1.41466006124811,0.0231391803806852,2.31389159864428,324932,1.28041927729834,1615.189,1842.217,990.835,1171.6795,2.58697629870234,2.74737356225416,0.571499186444158,0.666064562266785,10.6574872752215,10.8472272952687,1.37126699421298,1.45805312828324,0.715250419860024,0.785025610738073,1261.45320414733,1438.76075021851,634.031488731972,760.090003022221,2.01053481757838,2.11996871260813,0.363524939027907,0.43045511237665,10.3008709726277,10.4906109926748,1.00758537277111,1.08406189566429,0.525245661038367,0.586416333263239,11.8473280647761,12.9435318645856,27.5005160543399,19.85273730045,10.7871648562108,11.525368140129,20.7642156791182,15.8751937219576,0.0536082327260731,0.0490868841530234,0.0231391803806852,0.0320400237388387,0.0588482205727691,0.0550984064994861,0.0306357958153637,0.0400486296785785,1.79770545775381,1.85183887457033,2.31389159864428,2.11393667378677,1.28664195426245,1.31654654541002,1.58313731464098,1.46144685122438
V,157,PlateV_G13,ATMIN,,ATMIN,23300,,Single,FALSE,FALSE,TRUE,0.881895944636782,0.0351745693802616,1.28207493510197,188604,0.923795809210333,988.777,1104,434.9935,523.518,1.7854937895405,1.90186775817338,0.300684811250066,0.324028636090597,9.94950137479304,10.1085244567782,0.836324367569485,0.927467521704079,0.451353859656856,0.483133521879949,1070.3415085258,1195.06928803207,522.118987873995,616.630500693473,1.95238515056482,2.06602550553465,0.373799422384128,0.390920156612451,10.063855468249,10.2228785502341,0.965251809153147,1.0468658244914,0.528338548868496,0.55156582966909,10.6897085685807,25.0634587070473,18.0804435969321,25.7027126233067,11.8572446112467,34.9184528318356,21.66854312538,31.9187709103633,0.0593816373532686,0.0253868505822141,0.0351745693802616,0.0247560969273092,0.0535636100353717,0.0182266328093642,0.0293590753167577,0.0199384746872815,1.08151117940402,1.40696900564573,1.28207493510197,1.41660517618283,1.27883170525699,1.74983161661015,1.54154129521487,1.71060992383385
VI,83,PlateVI_D11,ZNF14,,ZNF14,7561,,Single,FALSE,FALSE,TRUE,0.752299408032542,0.0253914063437543,1.20015320936141,260408,1.21160574704087,963.379,990.367,381.5365,412.4545,1.65573845155691,1.71369714273355,0.245125819751782,0.255541921707568,9.91195966577968,9.95181943311373,0.727480656686001,0.777118159379082,0.387424585268378,0.404056394019056,795.125809161009,817.40038161654,215.673337650547,246.736796711264,1.37220194624134,1.43236821699815,0.134699452288897,0.150477481377234,9.63503933934484,9.67489910667888,0.45653148606649,0.518423688892607,0.238772025906535,0.26537290437594,23.5360518250109,37.3197686952417,25.0589570149633,32.5958198021776,14.3211542495039,17.0509788779511,14.832146124919,17.3946934991052,0.027032448330067,0.0170544324552185,0.0253914063437543,0.0195245943417385,0.0443810677121261,0.0372935410213455,0.0428567640380876,0.0365582656106524,1.17969169918641,1.33018777407294,1.20015320936141,1.28599413488494,0.659460779017401,0.69629659619112,0.666859894349585,0.700512320760362
VIII,40,PlateVIII_B16,HNF4A,,HNF4A,3172,,Single,FALSE,FALSE,TRUE,0.649359850839225,0.0287964251911719,1.00044367152286,294764,1.16153997714466,972.494,1059.06,348.14,388.5225,1.55760033570699,1.57941949555394,0.200802077811814,0.220863358020087,9.92554553889983,10.0485686107727,0.639325257891265,0.659394443787185,0.333470914901072,0.35502240344343,837.245397606221,911.772320229064,209.823682190863,233.101573032778,1.33442209129144,1.34346783620152,0.120303396015224,0.132010371687608,9.70950673013767,9.83252980201051,0.416221130281121,0.425980704999962,0.216972525227702,0.230431531692103,15.5513631814667,17.1915215747948,22.0925174894675,19.0459875891582,12.0379300615645,12.5654224059469,12.7056517032805,12.2093614254927,0.0408803065244985,0.0369893504866497,0.0287964251911719,0.0333947368424226,0.0527633420134596,0.0505578578672451,0.0500021673870299,0.0520258105160765,0.901626968655603,0.929833496993441,1.00044367152286,0.958664217163665,0.538027042669378,0.545835782776765,0.54785699771075,0.540601418268089
V,323,PlateV_N11,TFEC,,TFEC,22797,,Single,FALSE,FALSE,TRUE,0.574742767240982,0.0193268854540299,0.985016067888411,188100,0.921327181355982,823.948,865.452,270.1645,284.97,1.48785220216926,1.4909196150785,0.186748449549173,0.176380641022348,9.68640948044855,9.75730999633106,0.573232473224994,0.576253061256971,0.309366436401544,0.300179967992466,894.305537352472,939.353595023923,346.083016700667,360.914807685329,1.63128201353201,1.62394641504921,0.247770402425751,0.228806186177023,9.80462399871797,9.87552451460048,0.706020339622107,0.699511788857745,0.386446063265968,0.368554203564795,26.9997653697866,26.7828747551964,32.9294744772704,30.6186866875654,31.2785280536267,20.3930030827911,31.3949710188449,24.8205430303762,0.0235679423592161,0.0237586216504112,0.0193268854540299,0.0207844827206012,0.0203463219514295,0.0311925732007965,0.0202709091718903,0.0256350414514101,0.935496349094907,0.933484994113644,0.985016067888411,0.966867215713501,1.18873869801594,1.05832970906149,1.18987203802823,1.11821745048948
X,132,PlateX_F12,TFAP2A_1,,TFAP2A,7020,P2,Other,FALSE,FALSE,TRUE,-0.579401498546748,0.0319529960897969,-0.866488227981149,202144,0.856107064204642,505.262,532.567,-253.657,-259.077,0.665765384711675,0.672735472005093,-0.142707410903862,-0.132198195495167,8.98088787087237,9.05681922588739,-0.586914232824679,-0.571888764268817,-0.337160993967146,-0.318202948169651,590.185528336236,622.079903633054,-177.578601877045,-168.024844359169,0.768706826890031,0.787338520890875,-0.0992095455414894,-0.0831375632976258,9.20502473532689,9.28095609034191,-0.379494613783182,-0.344944030432888,-0.21858887420697,-0.188386428541451,-17.5965558778834,-14.1369592841116,-19.9068997970865,-17.4286111966502,-10.1582555859136,-8.25257588780306,-10.8457253725581,-9.29357474967994,0.0361397858629633,0.0449574145263238,0.0319529960897969,0.0364872756809668,0.0624689131513254,0.0767676751425577,0.0585322673781976,0.0682385179682323,-0.835505318810475,-0.780568929821935,-0.866488227981149,-0.83309740551053,-0.436233787601207,-0.403809928392711,-0.446473221544397,-0.422337012928686
IX,109,PlateIX_E13,ONECUT2,,ONECUT2,9480,,Single,FALSE,FALSE,TRUE,-0.621954907734089,0.0414308585516065,-0.859962165636284,229968,0.884363054630477,425.3,405.093,-233.088,-214.798,0.645971676275995,0.653490694331745,-0.13250073188964,-0.120463069285136,8.7323370447384,8.66210934526923,-0.630149327443981,-0.613760488024198,-0.335753471299307,-0.313986323554538,480.911089368956,458.061876147986,-188.331982809849,-167.696662881487,0.718589566871854,0.73201058807511,-0.101548890436088,-0.0902795771517322,8.90962638359729,8.83939868412812,-0.47407567077977,-0.450063418560129,-0.247217003311878,-0.226331860432834,-11.0918794632106,-10.6175381317336,-15.3441365933754,-13.6510905774107,-7.85700429631984,-7.8254439356758,-10.2404645911765,-9.33302747160351,0.057240371090136,0.0597829104336772,0.0414308585516065,0.046551935337118,0.0805924573658515,0.0809140080369576,0.0619705961825818,0.0679522496069861,-0.772653063913678,-0.760913905413479,-0.859962165636284,-0.828482659436066,-0.505368049444482,-0.504568985134747,-0.558094215540051,-0.539603040412656
XI,43,PlateXI_B19,ZNF514_1,,ZNF514,84874,P2,Other,FALSE,FALSE,TRUE,-0.498516711876507,0.0234190662744655,-0.81279681410334,220168,0.932820391146663,527.16,598.422,-214.7115,-250.3065,0.710581279911683,0.705080599979852,-0.120139190611852,-0.120504314067587,9.04209709503919,9.22501940428415,-0.492905834676911,-0.504127589076102,-0.278574953417547,-0.282344742215114,565.124867555685,641.518995167327,-193.102797786754,-215.62189029626,0.745323460731886,0.748440549327383,-0.107578713702509,-0.105941663268534,9.14242586420479,9.32534817344975,-0.424061408926869,-0.418040101991426,-0.242104784961851,-0.238243269095428,-10.9142552257037,-23.5636000790814,-27.1715605504991,-28.2409831415657,-13.9456295242324,-19.4682283540558,-23.1540031603819,-23.0381623304443,0.0581667957112425,0.0270008825470215,0.0234190662744655,0.0225329938806073,0.0455721256540654,0.0326717332072796,0.0274779433262338,0.0276159354997395,-0.615830087271406,-0.781984301717896,-0.81279681410334,-0.821147306457052,-0.564755678855681,-0.625608928605036,-0.657266871997135,-0.65635086082242
VI,347,PlateVI_O11,TP63,,TP63,8626,,Single,FALSE,FALSE,TRUE,0.556054836973435,0.0489447065885635,0.728595467046214,271692,1.26410704980272,832.421,873.171,250.5785,295.2585,1.43066379647413,1.51090519758614,0.160989211319682,0.182931509998058,9.70116955106818,9.77012040570702,0.5166905419745,0.595419131972371,0.275166930002602,0.309583432700812,658.50514806472,690.741341990195,79.052676554258,120.077757084919,1.13642650681632,1.21041776672126,0.0493725944515371,0.0732318758142532,9.36305090900885,9.43200176364768,0.184543055730499,0.275526345861406,0.0965184672439794,0.141037587980432,11.694738675721,14.625683271255,12.9812802464145,15.1108972460831,4.74567829170202,5.00512560520134,4.91327364141343,5.16628719254761,0.0543043302172382,0.0434598849111105,0.0489447065885635,0.042068505161049,0.132213067665171,0.125540537594786,0.127825452783065,0.121720530841869,0.703501417237663,0.757297437122653,0.728595467046214,0.765155321375727,0.202137384610047,0.207310956576487,0.20550901294498,0.210398055928393
VI,315,PlateVI_N3,NR2F2,,NR2F2,7026,,Single,FALSE,FALSE,TRUE,0.44878412362957,0.0239743629446826,0.727143788659591,214324,0.997189756569642,794.575,788.359,212.7325,210.4465,1.36561870265579,1.36414941708304,0.136674285292091,0.130385055870724,9.63403959188005,9.62270893820741,0.44956058278637,0.448007664472769,0.239416430853908,0.232938014914491,796.814241988765,790.580724286594,217.361770478302,219.917139381318,1.37511578803298,1.38537090012117,0.135753968250873,0.134120964877859,9.63809962365529,9.62676896998265,0.459591770376942,0.470293552196377,0.240372595214366,0.240735847010039,30.9161797610336,25.343810941717,26.5416351820927,25.0716530130547,47.6697384274153,46.6657682156499,37.8160002674975,41.7926758602384,0.0205846226488953,0.0251063149553128,0.0239743629446826,0.0253785620477364,0.0133528404776437,0.0136400273260602,0.0168307446332886,0.0152299010760972,0.756855167151729,0.7181519962192,0.727143788659591,0.716049874064701,0.871500770604112,0.867203965931321,0.82476023829491,0.844941654854294
