Plate_number_384,Well_number_384,Well_ID_384,Target_ID,Target_flag,Gene_symbol,Entrez_ID,TSS_ID,Is_main_TSS,Is_NT_ctrl,Is_pos_ctrl,Passes_cutoffs,Mean_logFC,p_value_log2_used,Hit_strength_log2_used,CellTiterGlo_raw,CellTiterGlo_foldNT,Raw_rep1,Raw_rep2,DeltaNT_rep1,DeltaNT_rep2,FoldNT_rep1,FoldNT_rep2,PercActivation_rep1,PercActivation_rep2,Raw_log2_rep1,Raw_log2_rep2,Log2FC_rep1,Log2FC_rep2,PercActivation_log2_rep1,PercActivation_log2_rep2,Raw_Glo_rep1,Raw_Glo_rep2,DeltaNT_Glo_rep1,DeltaNT_Glo_rep2,FoldNT_Glo_rep1,FoldNT_Glo_rep2,PercActivation_Glo_rep1,PercActivation_Glo_rep2,Raw_log2_Glo_rep1,Raw_log2_Glo_rep2,Log2FC_Glo_rep1,Log2FC_Glo_rep2,PercActivation_log2_Glo_rep1,PercActivation_log2_Glo_rep2,SSMD_deltaNT,SSMD_act,SSMD_log2,SSMD_act_log2,SSMD_deltaNT_Glo,SSMD_act_Glo,SSMD_log2_Glo,SSMD_act_log2_Glo,p_value_deltaNT,p_value_act,p_value_log2,p_value_act_log2,p_value_deltaNT_Glo,p_value_act_Glo,p_value_log2_Glo,p_value_act_log2_Glo,Hit_strength_deltaNT,Hit_strength_act,Hit_strength_log2,Hit_strength_act_log2,Hit_strength_deltaNT_Glo,Hit_strength_act_Glo,Hit_strength_log2_Glo,Hit_strength_act_log2_Glo
V,69,PlateV_C21,SETDB2,,SETDB2,83852,,Single,FALSE,FALSE,TRUE,-2.88366280377539,0.0187986543325701,-4.97683645988428,4246053,0.483166725772111,349.534400553059,339.166836435947,-2312.32684498877,-2087.10864869778,0.131312028806336,0.139789087642393,-0.434302893444644,-0.421016310765612,8.44929063983895,8.40585130057075,-2.92886009999422,-2.83846550755657,-1.84778666480611,-1.76765112202309,723.42398991672,701.966460736614,-2281.26179794639,-1932.38604693966,0.240765271642999,0.266466412027679,-0.527060822588393,-0.475500062415993,9.49869763067692,9.45525829140871,-2.05429140430365,-1.90776053390795,-1.59600633510651,-1.41696861055388,-13.4974673618521,-16.8581731839072,-33.8553343282829,-29.9323445934408,-9.49771904273069,-12.7402455747495,-22.0039552140493,-15.2110353329172,0.0470798534778764,0.0377190726518669,0.0187986543325701,0.0212607160353133,0.0667826500929326,0.0498669508340566,0.0289121670513355,0.041792355186962,-3.82709604922314,-4.1047180781864,-4.97683645988428,-4.82270143961734,-2.32837183398537,-2.57966663280031,-3.04863920754549,-2.73164295640448
III,159,PlateIII_G15,KLF12,,KLF12,11278,,Single,FALSE,FALSE,TRUE,2.4578771615506,0.0192936683774626,4.21423978118396,9470040,0.739974462784325,14528.3215268675,15213.5080135445,12007.7533952156,12308.4175409452,5.76390748753381,5.23684482705021,2.66798535384324,2.56707746368719,13.8265804159861,13.8930652354523,2.52704732958091,2.3887069935203,1.71015192707047,1.69863733023039,19633.5444769287,20559.5041162639,17074.0691167441,17632.3179867885,7.67092537101532,7.02364086425505,4.0410692290265,3.93786538689192,14.2610330280375,14.3275178475037,2.93947871688837,2.81222230620217,2.09072347374093,2.10033089136828,77.3880865404621,50.7555277108727,32.9862025520433,90.0826245214672,61.660987724946,76.1403852968034,42.6696987680841,133.032070460516,0.00822587004217676,0.0125412432078575,0.0192936683774626,0.00706677483448882,0.0103236096490374,0.00836065078550256,0.0149169850536129,0.00478537077432033,5.12422693173825,4.67404523277036,4.21423978118396,5.28634995982659,5.71192348143942,5.97532691774316,5.25222027343616,6.67221592899483
VIII,143,PlateVIII_F23,ZBTB9,,ZBTB9,221504,,Single,FALSE,FALSE,TRUE,-1.93833138203839,0.0204971431987486,-3.27249779083285,5927520,0.551936309884073,747.424838499652,834.170920590946,-2144.91030894377,-2332.42144114616,0.258415709244592,0.263428577252471,-0.501726508322047,-0.497412442875058,9.54578469808107,9.70419921016481,-1.9521584194818,-1.92450434459498,-1.49109209422288,-1.46816911433883,1354.18675146891,1511.35358492025,-1742.29074449001,-1684.8041559709,0.437331371933496,0.472865768038988,-0.47315887004096,-0.388061110245124,10.4032109946529,10.5616255067366,-1.19317775974506,-1.08047825585267,-1.05588735371871,-0.872899155291767,-14.1053090156596,-16.7289729779704,-31.0482182776109,-30.9261517672203,-19.908356692569,-8.85457855056404,-17.1178040574966,-9.88950055980394,0.0450579562691269,0.0380096931810455,0.0204971431987486,0.0205779898479151,0.0319506616911603,0.0715938879431975,0.0371482838842214,0.0641552352298028,-2.60943696991402,-2.75263532018785,-3.27249779083285,-3.26918399352632,-1.7001491850961,-1.30180909512106,-1.62573367535104,-1.35597195360505
III,151,PlateIII_G7,MIXL1,,MIXL1,83881,,Single,FALSE,FALSE,TRUE,-1.63818798621528,0.0132207774767603,-3.07773421909515,5581707,0.436146060496525,798.745813819109,946.148418676927,-1721.82231783279,-1958.94205392238,0.31689118170975,0.32568638656901,-0.382569209634891,-0.408562350323636,9.6415926547724,9.8859227011343,-1.65794043163284,-1.61843554079772,-1.12199324125645,-1.15088833985417,1831.37229970572,2169.33844960057,-728.103060478897,-757.847679874822,0.715526442721301,0.741100276390472,-0.172326517665074,-0.169251833443083,10.8387093911116,11.0830394374735,-0.482844920037545,-0.432256103828017,-0.343426609180445,-0.322833954431769,-14.4867918045319,-23.5174741450699,-48.1460527999299,-49.1986559678024,-19.1006414019837,-18.5282230581218,-13.5888188679718,-18.3086802676617,0.043875242679856,0.0270537769816174,0.0132207774767603,0.0129379982296703,0.0332993569186683,0.0343261575667642,0.0467644979803924,0.0347369572204092,-2.22429965121526,-2.5683054101873,-3.07773421909515,-3.0931166538331,-0.676060234875758,-0.670025443204489,-0.608580488587191,-0.667661470912412
III,75,PlateIII_D3,PBX1,,PBX1,5087,,Single,FALSE,FALSE,TRUE,-1.5772447829776,0.0113204328028155,-3.06953438112994,7864453,0.614516346685714,842.133214008145,976.514127936916,-1678.43491764376,-1928.57634466239,0.33410452327517,0.336138973001824,-0.372929025960582,-0.402229194363426,9.71790465583056,9.9314971065515,-1.58162843057467,-1.57286113538052,-1.07034992055543,-1.11847985000811,1370.40002035754,1589.0775456236,-1189.07533982707,-1338.10858385179,0.535422236008045,0.542868637433861,-0.281428857638694,-0.29884281126288,10.4203813626281,10.6339738133491,-0.901172948521005,-0.881321727952445,-0.640965157035612,-0.658222234554566,-13.546394270565,-21.3799797977874,-56.2304181921676,-36.4005911385569,-15.2733087335716,-23.0516714210655,-36.6160086787624,-37.5354148811735,0.0469104262833889,0.0297547586552768,0.0113204328028155,0.0174848723439205,0.0416224426425569,0.0275997718668973,0.0173820574517015,0.0169564988331198,-2.09573343920358,-2.40757515414404,-3.06953438112994,-2.77175145759467,-1.23052063400469,-1.38953883004186,-1.56850513797027,-1.57809941262414
VI,219,PlateVI_J3,SRF,,SRF,6722,,Single,FALSE,FALSE,TRUE,-1.43824254621747,0.0178545059915423,-2.5144106403407,3012080,0.315904062316609,910.059084967587,759.350439774526,-1569.1761751433,-1288.54103593881,0.367072499980047,0.370796230552219,-0.349655701445073,-0.341538148081692,9.82981640412182,9.56862203199647,-1.44578284443766,-1.43070224799728,-0.969884378404984,-0.949755467170663,2880.80842738735,2403.73749614363,379.95604030038,426.572056097018,1.15193061464254,1.21574929819073,0.094138085034959,0.129437957516601,11.4922580097043,11.2310636375789,0.204627393410821,0.282618118281205,0.14755611470458,0.200011140424336,-9.51309232688839,-24.0595663568728,-35.6466232852445,-34.3043627467345,10.3432636672915,5.72728226371748,5.42250962224927,5.71479314006251,0.0666755165445024,0.0264449304776358,0.0178545059915423,0.0185527287652037,0.0613585122770852,0.110046300535201,0.11609873914442,0.110282018521572,-1.69142157524462,-2.26905424108459,-2.5144106403407,-2.49044958138244,0.295301276540347,0.233494030797803,0.227829300852298,0.233267642108235
VIII,332,PlateVIII_N20,TFEB_1,,TFEB,7942,P1,Main,FALSE,FALSE,TRUE,-1.57538006416107,0.0281857401869901,-2.44179271343464,6855307,0.638326458401229,947.79547943378,1087.99376551382,-1944.53966800964,-2078.59859622328,0.32769213494209,0.343585040708232,-0.454856827279004,-0.443282156159574,9.8884319697429,10.0874545742576,-1.60951114781998,-1.54124898050216,-1.22937222928609,-1.17579061696309,1484.81308734665,1704.44723259449,-1611.66440861228,-1491.71050829665,0.479516834623991,0.533280072753626,-0.437684303194431,-0.343585831007361,10.5360656164086,10.7350882209234,-1.06032313798928,-0.907015541665896,-0.938319360308417,-0.73276171534971,-13.9169839730759,-14.8004669832725,-22.5718305812759,-22.4265850268662,-15.3795282999201,-7.42454963760721,-11.6649195058329,-7.72396162012415,0.0456656063853306,0.0429482175202455,0.0281857401869901,0.0283680440796365,0.0413357850044574,0.0852323093630643,0.0544424740357417,0.081965472633437,-2.1116564065145,-2.15363096672769,-2.44179271343464,-2.43738172998971,-1.36107750352188,-1.05193180573269,-1.24341917796034,-1.06862792870749
IX,33,PlateIX_B9,ZBTB37,,ZBTB37,84614,,Single,FALSE,FALSE,TRUE,-1.41563110782003,0.0217587302558933,-2.35329766170279,7853960,0.685785247098528,1324.52098479196,1125.22881856369,-2101.22839325689,-1971.16550017762,0.386636860617733,0.363399716810325,-0.428329558558206,-0.389268547207631,10.3712549856104,10.1360026921843,-1.37089585182575,-1.46036636381431,-1.06918562022528,-1.0446837767021,1931.39323191311,1640.78889612221,-1487.6071276158,-1425.22059476267,0.564899979179653,0.535154539149409,-0.325442559787026,-0.2931578548596,10.9154262117546,10.6801739183285,-0.823911113417399,-0.901883675465584,-0.672774043211811,-0.65805289069807,-25.6279715784225,-18.8622584933725,-29.2467369072142,-55.4224399145874,-30.787111102147,-16.8618033520672,-20.5494530721914,-45.4514975252351,0.0248282221687029,0.0337194154107093,0.0217587302558933,0.0114854326376103,0.0206708589492573,0.0377109711188801,0.0309554690910926,0.0140043148209339,-2.27216490596728,-2.08397881447788,-2.35329766170279,-2.74611574317571,-1.45367274062685,-1.22836229847413,-1.302338774056,-1.59958580643986
III,239,PlateIII_J23,GATA1,,GATA1,2623,,Single,FALSE,FALSE,TRUE,-1.53057456156011,0.0306425358741618,-2.31679290372569,5672680,0.44325455178092,832.111777718433,1054.32846381532,-1688.45635393347,-1850.76200878399,0.330128659197596,0.362924485058109,-0.375155674390594,-0.386000022146873,9.70063352863203,10.042108676585,-1.59889955777321,-1.46224956534702,-1.08203796894119,-1.03982267584486,1877.27745688149,2378.60718988494,-682.197903303119,-548.578939590453,0.733461820373253,0.812591712543825,-0.161461742733669,-0.122515373180641,10.8744261772842,11.2159013252372,-0.447128133864922,-0.29939421606432,-0.318022811279593,-0.223604982902683,-19.0070224585477,-31.7806354242332,-20.7596413723932,-38.2241956022454,-8.11171519840151,-6.60727103499582,-4.83887845311017,-5.46710361540348,0.0334630714402964,0.0200250808358531,0.0306425358741618,0.016651091888737,0.0780875340204279,0.0956256562053197,0.12973713044502,0.11517235615092,-2.25826205286679,-2.5995672049616,-2.31679290372569,-2.72221453292666,-0.413356252788252,-0.380511986644078,-0.331058666024898,-0.350362254507462
VI,281,PlateVI_L17,ZNF142,,ZNF142,7701,,Single,FALSE,FALSE,TRUE,-1.41831845098994,0.0243247939863041,-2.28909624005801,6999973,0.734150456430965,904.066405716302,785.790922220495,-1575.16885439459,-1262.10055349284,0.364655351697388,0.383707306534289,-0.350991035552445,-0.33452988590213,9.82028493551146,9.61800169106188,-1.45531431304802,-1.38132258893187,-0.976278438580765,-0.916975340327326,1231.4456768322,1070.34043953412,-1269.40671025477,-906.825000512486,0.492410381032768,0.541350975419078,-0.314508796173996,-0.275164709487278,10.2661372718222,10.0638540273727,-1.02149334447119,-0.884591491925029,-0.736595362890376,-0.626032591914532,-8.5743999192808,-21.3559148698989,-26.1589031946068,-23.9612055391137,-5.91479294530625,-13.8003197504301,-13.2374404927411,-11.8729641982336,0.073912663457338,0.0297882389354994,0.0243247939863041,0.0265533613888984,0.106623519178,0.0460503116189074,0.0480011890417462,0.0534930263520514,-1.60451692483089,-2.16429037480971,-2.28909624005801,-2.23510038088655,-0.926497315720556,-1.27399606083431,-1.25682278724428,-1.211986741599
